aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-682,-63,7988,5,243,-41,-1.60,-15.99,9.32
-999,-92,7751,6,246,-40,-1.72,-19.39,10.09
-1292,-128,7521,6,247,-36,-1.86,-22.79,10.89
-1583,-174,7317,7,247,-29,-2.02,-26.20,11.67
-1922,-210,7152,5,247,-20,-2.16,-29.62,12.39
-2362,-226,7017,3,247,-11,-2.29,-33.04,13.05
-2909,-198,6864,-2,244,-5,-2.44,-36.45,13.68
-3514,-179,6681,-7,236,-1,-2.64,-39.78,14.26
-4087,-153,6475,-12,225,-1,-2.91,-42.99,14.84
-4547,-82,6219,-17,214,-2,-3.28,-46.04,15.43
-4927,40,5914,-20,204,-3,-3.72,-48.93,16.03
-5277,122,5583,-23,192,-1,-4.22,-51.67,16.60
-5640,165,5229,-25,176,1,-4.74,-54.22,17.13
-6002,168,4877,-28,156,4,-5.25,-56.50,17.52
-6308,163,4553,-30,142,5,-5.78,-58.58,17.82
-6600,138,4256,-30,137,4,-6.39,-60.55,18.10
-6890,53,3949,-32,133,0,-7.13,-62.46,18.41
-7128,-21,3600,-34,130,-4,-8.14,-64.32,18.76
-7320,-101,3197,-36,123,-8,-9.38,-66.11,19.13
-7474,-184,2751,-36,108,-10,-10.84,-67.72,19.42
-7571,-338,2308,-31,89,-11,-12.35,-69.07,19.68
-7580,-556,1946,-23,72,-11,-13.86,-70.16,19.98
-7529,-790,1682,-14,61,-10,-15.30,-71.07,20.49
-7474,-974,1551,-7,54,-7,-16.55,-71.84,21.17
-7438,-1080,1537,-2,53,-2,-17.55,-72.57,21.99
-7512,-1095,1610,0,52,6,-18.23,-73.32,22.91
-7761,-1064,1758,2,52,12,-18.58,-74.07,23.87
-8205,-1022,1929,2,45,16,-18.59,-74.78,24.76
-8791,-961,2073,-2,30,15,-18.38,-75.31,25.29
-9401,-913,2178,-5,7,11,-17.98,-75.56,25.26
-9922,-884,2210,-7,-17,4,-17.55,-75.47,24.65
-10234,-875,2189,-6,-38,-7,-17.32,-75.06,23.78
-10314,-908,2197,-1,-58,-17,-17.28,-74.32,22.88
-10188,-936,2319,6,-81,-23,-17.17,-73.27,22.07
-9889,-960,2574,10,-113,-24,-16.71,-71.77,21.10
-9405,-1032,2954,8,-146,-20,-15.82,-69.79,19.74
-8798,-1132,3421,5,-167,-13,-14.71,-67.47,18.21
-8177,-1211,3922,2,-173,-5,-13.55,-65.00,16.70
-7619,-1284,4346,-2,-169,3,-12.44,-62.56,15.26
-7234,-1317,4643,-9,-169,11,-11.44,-60.18,13.81
-6981,-1356,4841,-15,-184,20,-10.45,-57.68,12.29
-6770,-1340,5023,-16,-209,28,-9.44,-54.90,10.74
-6516,-1280,5257,-14,-236,35,-8.38,-51.74,9.23
-6168,-1190,5582,-14,-251,40,-7.37,-48.31,7.83
-5744,-1072,5970,-15,-246,43,-6.49,-44.85,6.57
-5356,-966,6369,-16,-218,46,-5.77,-41.66,5.41
-5166,-877,6660,-18,-183,47,-5.23,-38.97,4.34
-5169,-804,6802,-20,-153,44,-4.85,-36.76,3.38
-5331,-707,6802,-17,-129,36,-4.60,-34.96,2.59
-5593,-592,6699,-12,-117,26,-4.40,-33.41,2.01
-5853,-445,6610,-5,-125,16,-4.22,-31.85,1.65
-5958,-305,6584,-1,-148,8,-4.03,-30.00,1.45
-5798,-217,6645,2,-173,3,-3.86,-27.78,1.37
-5378,-165,6801,3,-184,1,-3.69,-25.30,1.34
-4844,-110,6994,4,-174,1,-3.53,-22.85,1.31
