aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-1097,-198,8112,0,-1,-2,-1.75,-8.38,0.50
-1056,-196,8102,1,-1,-2,-1.73,-8.37,0.51
-1025,-199,8117,2,0,0,-1.70,-8.36,0.52
-1001,-192,8138,2,-1,1,-1.67,-8.34,0.51
-1004,-189,8157,1,-1,2,-1.63,-8.32,0.48
-1038,-198,8176,1,-2,3,-1.60,-8.29,0.44
-1085,-199,8186,0,-3,3,-1.58,-8.27,0.38
-1139,-204,8181,-1,-4,3,-1.58,-8.23,0.33
-1185,-210,8173,-1,-5,2,-1.58,-8.18,0.29
-1207,-226,8160,-1,-5,1,-1.58,-8.13,0.26
-1217,-247,8159,-1,-6,1,-1.60,-8.07,0.24
-1214,-265,8143,-1,-6,0,-1.59,-8.00,0.23
-1194,-282,8127,-1,-7,1,-1.60,-7.90,0.21
-1185,-295,8111,-1,-9,1,-1.60,-7.80,0.19
-1191,-305,8086,-1,-11,2,-1.61,-7.67,0.15
-1204,-322,8069,-1,-16,3,-1.62,-7.48,0.10
-1219,-339,8046,-2,-21,4,-1.63,-7.22,0.04
-1240,-353,8014,-2,-29,5,-1.65,-6.88,-0.04
-1253,-346,7965,-2,-38,6,-1.66,-6.40,-0.13
-1262,-321,7901,-2,-50,6,-1.68,-5.79,-0.22
-1277,-309,7847,-2,-65,7,-1.70,-4.98,-0.33
-1243,-281,7823,-1,-80,7,-1.70,-3.96,-0.42
-1139,-273,7848,-1,-91,6,-1.70,-2.75,-0.52
-995,-265,7917,1,-96,5,-1.69,-1.44,-0.60
-848,-227,7974,1,-98,2,-1.66,-0.10,-0.64
-710,-233,8009,1,-99,-1,-1.64,1.26,-0.65
-576,-251,8021,1,-103,-4,-1.62,2.64,-0.61
-431,-242,8005,0,-110,-6,-1.62,4.11,-0.54
-265,-213,7971,-1,-126,-5,-1.62,5.77,-0.47
-61,-182,7912,-4,-146,-3,-1.66,7.71,-0.43
178,-179,7831,-6,-165,-1,-1.72,9.92,-0.41
443,-161,7711,-7,-178,0,-1.83,12.34,-0.40
