aX,aY,aZ,gX,gY,gZ,yaw,pitch,roll
-322,1398,8250,19,-2,7,10.31,-3.13,50.45
-282,1353,8202,23,-3,7,10.62,-3.06,50.34
-223,1326,8160,28,-1,6,10.99,-3.02,50.22
-217,1333,8162,33,1,4,11.44,-3.01,50.11
-197,1327,8206,39,2,3,11.95,-3.01,50.02
-248,1344,8247,45,1,3,12.55,-3.02,49.91
-317,1377,8277,54,-1,4,13.25,-3.01,49.79
-353,1433,8254,63,-5,4,14.09,-2.95,49.66
-348,1485,8203,73,-8,5,15.06,-2.84,49.49
-353,1529,8119,84,-10,7,16.18,-2.69,49.28
-308,1558,8017,95,-12,8,17.45,-2.50,49.03
-305,1567,7923,107,-13,8,18.86,-2.29,48.74
-350,1577,7862,118,-15,6,20.42,-2.08,48.43
-459,1627,7855,129,-20,3,22.12,-1.84,48.12
-572,1805,7887,137,-27,0,23.95,-1.54,47.82
-625,2133,7911,141,-33,-3,25.87,-1.20,47.54
-584,2471,7899,141,-39,-7,27.82,-0.79,47.28
-524,2773,7818,138,-40,-12,29.72,-0.39,47.07
-445,3031,7704,133,-37,-18,31.58,-0.07,46.91
-457,3224,7515,130,-34,-24,33.38,0.15,46.82
-550,3295,7268,133,-35,-29,35.20,0.30,46.76
-702,3281,6974,140,-42,-33,37.08,0.43,46.73
-828,3307,6649,151,-47,-36,39.11,0.56,46.70
-875,3484,6403,159,-50,-39,41.29,0.67,46.63
-850,3829,6181,162,-54,-41,43.54,0.77,46.53
-743,4368,6068,158,-54,-44,45.78,0.84,46.42
-558,4920,6044,148,-52,-44,47.91,0.88,46.29
-481,5350,5973,139,-52,-46,49.91,0.87,46.21
-440,5615,5751,134,-57,-46,51.81,0.83,46.19
-410,5706,5344,133,-57,-46,53.69,0.78,46.13
-408,5683,4842,138,-55,-46,55.64,0.68,45.97
-343,5597,4298,147,-57,-46,57.70,0.56,45.65
-265,5613,3751,158,-56,-43,59.92,0.45,45.08
-196,5764,3311,166,-55,-40,62.29,0.32,44.17
-108,6130,3036,170,-55,-36,64.73,0.20,42.96
19,6601,2858,165,-55,-35,67.12,0.08,41.52
106,7033,2672,155,-52,-35,69.40,-0.07,39.95
152,7331,2478,145,-46,-37,71.51,-0.31,38.27
164,7518,2257,136,-42,-37,73.49,-0.60,36.46
119,7571,1943,132,-41,-33,75.39,-0.89,34.40
46,7532,1516,134,-41,-30,77.31,-1.16,31.96
-9,7418,1045,139,-41,-29,79.31,-1.44,28.95
-16,7341,604,145,-41,-27,81.40,-1.70,25.20
7,7397,249,146,-38,-26,83.53,-1.97,20.73
37,7627,88,144,-33,-26,85.62,-2.27,15.62
